Name, Mac, FLOPs, OnChipMemTraffic, OffChipMemTraffic, OffChipMemLWTraffic, OffChipLoadStoreCnt, Time
TileLayerGroup_0, 0, 0, 458, 300, 98, 2, 0.0
TileTransposeMatmul_0, 512, 15360, 17104, 7740, 542, 2, 0.0
TileLayerGroup_1, 0, 0, 92188, 46080, 28, 3, 0.0
TileLayerGroup_2, 3993600, 2088960, 512000, 29696, 77312, 2, 0.0
TileLayerGroup_3, 0, 0, 86030, 71680, 14, 2, 0.0
TileLayerGroup_4, 0, 0, 46094, 38400, 14, 2, 0.0
TileLayerGroup_5, 0, 0, 92188, 69120, 28, 3, 0.0
TileLayerGroup_6, 3993600, 2088960, 447488, 22528, 77312, 2, 0.0
TileLayerGroup_7, 0, 0, 43022, 35840, 14, 2, 0.0
TileLayerGroup_8, 0, 0, 46094, 38400, 14, 2, 0.0
TileLayerGroup_9, 0, 0, 92188, 69120, 28, 3, 0.0
TileLayerGroup_10, 3993600, 2088960, 415232, 18944, 77312, 2, 0.0
TileLayerGroup_11, 0, 0, 21518, 17920, 14, 2, 0.0
TileLayerGroup_12, 0, 0, 46094, 38400, 14, 2, 0.0
TileAct1_0, 0, 0, 61454, 46080, 14, 3, 0.0
TileLayerGroup_13, 3993600, 2088960, 399104, 17152, 77312, 2, 0.0
TileLayerGroup_14, 0, 0, 10766, 8960, 14, 2, 0.0
TileAct1_1, 0, 0, 46094, 38400, 14, 2, 0.0
TileLayerGroup_15, 0, 0, 61440, 61440, 0, 2, 0.0
TileTransposeMatmul_1, 10240, 307200, 83504, 31920, 14080, 2, 0.0
TileLayerGroup_16, 0, 0, 7214, 6000, 14, 2, 0.0
